,Title,Genre,Year,Duration,Budget,Revenue,Imdb,Personalrating,Critic_1,Critic_2,Critic_3,Critic_4,Person_1,Person_2,Person_3,Person_4,Person_5,Person_6,Person_7,Person_8,Person_9,Person_10,Person_11,Person_12,Person_13,Person_14,Person_15,Person_16,Person_17,Person_18,Person_19,Person_20
107,Lilo and stitch 2,Family,2005.0,68.0,,,62.0,90.0,50.0,80.0,60.0,4.0,70.0,50.0,80.0,40.0,50.0,40.0,80.0,60.0,70.0,60.0,80.0,60.0,60.0,50.0,60.0,50.0,60.0,80.0,100.0,60.0
108,Maleficent,Fantasy,2014.0,97.0,180.0,758.5,69.0,90.0,60.0,60.0,60.0,6.0,60.0,80.0,80.0,70.0,70.0,40.0,80.0,90.0,50.0,60.0,30.0,50.0,40.0,80.0,80.0,70.0,80.0,100.0,20.0,50.0
109,Matilda,Comedy,1996.0,98.0,36.0,47.0,70.0,100.0,90.0,100.0,90.0,9.0,90.0,80.0,100.0,80.0,90.0,100.0,60.0,90.0,80.0,70.0,80.0,70.0,90.0,80.0,80.0,80.0,90.0,100.0,80.0,100.0
110,Me Before You,Romance,2016.0,110.0,20.0,208.3,74.0,100.0,50.0,20.0,40.0,5.0,30.0,50.0,30.0,20.0,40.0,40.0,40.0,40.0,40.0,10.0,20.0,30.0,60.0,80.0,20.0,30.0,50.0,40.0,100.0,10.0
111,Meet the Robinsons,Adventure,2007.0,95.0,150.0,169.3,68.0,100.0,60.0,40.0,70.0,6.0,70.0,100.0,70.0,1060.0,80.0,90.0,80.0,60.0,100.0,60.0,80.0,80.0,100.0,80.0,90.0,100.0,100.0,80.0,80.0,70.0
112,Megalodon,Action,2018.0,88.0,130.0,530.2,28.0,50.0,50.0,30.0,20.0,3.0,20.0,30.0,40.0,40.0,20.0,40.0,20.0,40.0,60.0,30.0,20.0,20.0,30.0,10.0,50.0,20.0,80.0,10.0,20.0,20.0
113,Mission: Impossible - Dead Reckoning,Action,2023.0,153.0,291.0,567.5,77.0,80.0,60.0,80.0,80.0,7.0,100.0,90.0,80.0,100.0,80.0,80.0,100.0,90.0,90.0,90.0,80.0,80.0,90.0,80.0,80.0,100.0,80.0,90.0,60.0,80.0
114,Moana,Musical,2016.0,103.0,150.0,687.2,76.0,80.0,80.0,70.0,60.0,8.0,80.0,100.0,80.0,100.0,70.0,90.0,90.0,90.0,100.0,80.0,80.0,100.0,80.0,80.0,90.0,80.0,100.0,70.0,80.0,70.0
115,Mulan,Musical,1998.0,88.0,90.0,304.3,77.0,90.0,30.0,100.0,50.0,7.0,100.0,100.0,50.0,90.0,100.0,100.0,100.0,70.0,100.0,70.0,90.0,100.0,100.0,100.0,80.0,100.0,80.0,90.0,80.0,80.0
116,Nightmare Alley,Thriller,2021.0,150.0,6.0,39.6,70.0,70.0,100.0,100.0,80.0,4.0,60.0,60.0,70.0,60.0,80.0,50.0,40.0,70.0,60.0,50.0,70.0,100.0,100.0,60.0,40.0,70.0,100.0,40.0,90.0,100.0
117,No manches frida,Comedy,2016.0,100.0,2.5,23.5,55.0,70.0,40.0,60.0,40.0,4.0,30.0,10.0,10.0,10.0,10.0,10.0,100.0,40.0,20.0,10.0,60.0,10.0,10.0,60.0,80.0,10.0,30.0,10.0,10.0,30.0
118,No manches frida 2,Comedy,2019.0,102.0,,9.3,42.0,80.0,40.0,40.0,40.0,4.0,10.0,20.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,20.0,10.0,30.0,10.0,100.0,10.0,30.0,10.0,20.0,10.0
119,Nope,Horror,2022.0,130.0,68.0,172.3,68.0,70.0,80.0,60.0,80.0,7.0,100.0,90.0,100.0,80.0,100.0,90.0,100.0,80.0,80.0,80.0,100.0,100.0,90.0,100.0,90.0,100.0,90.0,100.0,100.0,50.0
120,Old,Thriller,2021.0,108.0,18.0,90.2,58.0,60.0,50.0,40.0,0.0,8.0,100.0,20.0,80.0,30.0,30.0,30.0,30.0,50.0,70.0,60.0,90.0,70.0,70.0,100.0,70.0,70.0,60.0,50.0,90.0,100.0
121,Oppenheimer,Thriller,2023.0,180.0,100.0,953.8,84.0,100.0,100.0,100.0,90.0,10.0,100.0,100.0,100.0,80.0,90.0,80.0,100.0,90.0,70.0,90.0,80.0,100.0,90.0,70.0,100.0,100.0,100.0,70.0,70.0,100.0
122,Pacific Rim,Scifi,2013.0,131.0,180.0,411.0,69.0,90.0,20.0,30.0,60.0,6.0,40.0,90.0,80.0,100.0,90.0,60.0,50.0,80.0,90.0,80.0,100.0,80.0,30.0,100.0,80.0,80.0,80.0,80.0,60.0,70.0
123,Pacific Rim Uprising,Scifi,2018.0,111.0,150.0,290.9,56.0,80.0,30.0,20.0,60.0,6.0,20.0,40.0,30.0,60.0,60.0,50.0,60.0,40.0,40.0,30.0,40.0,30.0,40.0,50.0,50.0,20.0,60.0,40.0,20.0,80.0
124,Planet of the Apes,Action,2001.0,119.0,100.0,362.2,57.0,100.0,80.0,80.0,50.0,6.0,40.0,30.0,20.0,40.0,30.0,30.0,40.0,10.0,40.0,40.0,20.0,30.0,30.0,70.0,80.0,40.0,30.0,50.0,40.0,40.0
125,Poor Things,Comedy,2023.0,141.0,35.0,12.83,84.0,80.0,100.0,60.0,90.0,8.0,90.0,90.0,90.0,90.0,90.0,20.0,80.0,100.0,100.0,40.0,60.0,90.0,100.0,20.0,10.0,90.0,90.0,10.0,50.0,90.0
126,Priscilla,Romance,2023.0,110.0,20.0,31.1,66.0,50.0,80.0,70.0,80.0,8.0,70.0,90.0,100.0,70.0,70.0,70.0,100.0,100.0,100.0,90.0,80.0,80.0,90.0,80.0,90.0,100.0,70.0,70.0,80.0,80.0
127,Pulp Fiction,crime,1994.0,154.0,8.5,213.9,89.0,90.0,100.0,90.0,100.0,8.0,60.0,80.0,70.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,90.0,70.0,100.0,30.0,70.0,60.0,100.0,90.0
128,Puss in Boots,Comedy,2011.0,90.0,130.0,555.0,66.0,100.0,60.0,60.0,40.0,6.0,60.0,60.0,60.0,60.0,80.0,70.0,50.0,70.0,50.0,60.0,50.0,50.0,70.0,80.0,30.0,70.0,60.0,40.0,60.0,80.0
129,Rampage,Action,2018.0,107.0,120.0,428.0,61.0,80.0,30.0,60.0,40.0,6.0,30.0,50.0,60.0,30.0,60.0,20.0,60.0,30.0,30.0,30.0,40.0,60.0,20.0,40.0,50.0,60.0,100.0,100.0,60.0,40.0
130,Ratatouille,Comedy,2007.0,111.0,150.0,623.7,81.0,100.0,80.0,80.0,60.0,10.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0
131,Real steel,SciFi,2011.0,127.0,110.0,299.3,71.0,90.0,40.0,50.0,40.0,2.0,70.0,60.0,80.0,70.0,80.0,60.0,90.0,80.0,60.0,80.0,30.0,70.0,80.0,50.0,70.0,80.0,70.0,20.0,70.0,90.0
132,Rio,Comedy,2011.0,96.0,90.0,484.6,69.0,90.0,40.0,50.0,60.0,7.0,60.0,60.0,100.0,70.0,20.0,60.0,70.0,80.0,80.0,80.0,100.0,70.0,80.0,70.0,60.0,20.0,70.0,80.0,70.0,70.0
133,Rio 2,Comedy,2014.0,101.0,130.0,498.8,63.0,80.0,40.0,60.0,30.0,4.0,70.0,40.0,10.0,40.0,50.0,70.0,100.0,50.0,60.0,20.0,50.0,40.0,30.0,10.0,50.0,60.0,30.0,50.0,50.0,20.0
134,Rise of the guardians,Adventure,2012.0,97.0,145.0,306.9,72.0,80.0,30.0,60.0,60.0,4.0,60.0,90.0,70.0,90.0,60.0,70.0,90.0,70.0,80.0,70.0,100.0,90.0,90.0,60.0,90.0,80.0,70.0,100.0,80.0,90.0
135,Robbin hood,Adventure,1973.0,83.0,15.0,33.0,75.0,90.0,70.0,50.0,80.0,8.0,80.0,90.0,70.0,80.0,90.0,80.0,80.0,80.0,80.0,70.0,80.0,80.0,100.0,70.0,100.0,90.0,90.0,80.0,90.0,80.0
136,San Andreas,Action,2015.0,114.0,110.0,474.5,21.0,60.0,30.0,70.0,30.0,5.0,40.0,30.0,70.0,60.0,40.0,20.0,40.0,60.0,50.0,40.0,50.0,80.0,30.0,40.0,70.0,60.0,50.0,30.0,50.0,50.0
137,Shrek ,Comedy,2001.0,90.0,60.0,491.8,79.0,90.0,100.0,70.0,90.0,10.0,80.0,100.0,70.0,90.0,70.0,80.0,90.0,90.0,100.0,100.0,60.0,80.0,100.0,70.0,70.0,90.0,100.0,100.0,100.0,70.0
138,Shrek 2,Comedy,2004.0,105.0,150.0,935.3,73.0,90.0,80.0,100.0,60.0,7.0,100.0,100.0,90.0,100.0,70.0,100.0,100.0,90.0,70.0,100.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,90.0,100.0,90.0
139,Shrek For Ever After,Comedy,2010.0,93.0,135.0,756.2,63.0,80.0,60.0,80.0,60.0,6.0,80.0,100.0,40.0,60.0,30.0,20.0,50.0,80.0,80.0,80.0,60.0,70.0,80.0,40.0,90.0,70.0,70.0,50.0,70.0,70.0
140,Shrek The Third,Comedy,2007.0,93.0,160.0,813.4,61.0,80.0,60.0,40.0,40.0,4.0,20.0,100.0,10.0,60.0,60.0,100.0,70.0,20.0,40.0,80.0,70.0,80.0,40.0,90.0,60.0,60.0,60.0,40.0,20.0,60.0
141,Society of the snow,Adventure,2023.0,144.0,65.0,,78.0,90.0,80.0,70.0,90.0,8.0,100.0,100.0,90.0,90.0,100.0,100.0,100.0,90.0,80.0,90.0,90.0,90.0,90.0,100.0,80.0,80.0,100.0,80.0,100.0,100.0
142,Sound Of Freedom,Crime,2023.0,135.0,14.5,250.6,77.0,70.0,60.0,40.0,60.0,2.0,10.0,40.0,90.0,50.0,10.0,100.0,10.0,10.0,80.0,20.0,30.0,90.0,10.0,20.0,60.0,20.0,10.0,20.0,60.0,70.0
143,Spiderman,Action,2002.0,121.0,139.0,825.0,74.0,90.0,80.0,80.0,60.0,8.0,70.0,100.0,80.0,80.0,70.0,80.0,60.0,80.0,80.0,70.0,60.0,80.0,80.0,90.0,70.0,80.0,80.0,70.0,70.0,80.0
144,Spiderman 2,Action,2004.0,135.0,200.0,789.0,75.0,100.0,90.0,100.0,100.0,8.0,90.0,100.0,90.0,90.0,80.0,90.0,60.0,80.0,90.0,90.0,90.0,90.0,100.0,100.0,100.0,100.0,80.0,70.0,100.0,100.0
145,Spiderman 3,Action,2007.0,139.0,250.0,895.0,63.0,80.0,70.0,60.0,60.0,4.0,90.0,100.0,20.0,80.0,60.0,100.0,50.0,70.0,40.0,70.0,80.0,50.0,80.0,60.0,60.0,40.0,90.0,60.0,60.0,80.0
146,Spiderman across the spiderverse,Action,2023.0,140.0,100.0,690.9,86.0,100.0,40.0,80.0,80.0,10.0,100.0,100.0,90.0,100.0,80.0,100.0,100.0,100.0,100.0,80.0,100.0,80.0,90.0,100.0,100.0,100.0,100.0,100.0,100.0,70.0
147,Spiderman far form home,Action,2019.0,130.0,160.0,1132.0,74.0,90.0,70.0,60.0,60.0,6.0,60.0,100.0,40.0,70.0,70.0,80.0,90.0,50.0,70.0,60.0,70.0,90.0,70.0,70.0,80.0,90.0,80.0,60.0,80.0,50.0
148,Spiderman into the spiderverse,Action,2018.0,116.0,90.0,384.3,84.0,100.0,80.0,70.0,80.0,8.0,100.0,100.0,100.0,80.0,80.0,100.0,100.0,80.0,100.0,80.0,100.0,90.0,90.0,90.0,100.0,100.0,80.0,90.0,90.0,100.0
149,Spiderman no way home,Action,2021.0,148.0,200.0,1992.0,82.0,90.0,80.0,80.0,100.0,6.0,80.0,100.0,70.0,60.0,70.0,100.0,70.0,40.0,90.0,70.0,50.0,70.0,100.0,40.0,40.0,90.0,100.0,40.0,40.0,70.0
150,Suicide Squad,Action,2016.0,130.0,175.0,749.2,59.0,50.0,40.0,40.0,50.0,8.0,20.0,60.0,30.0,30.0,60.0,30.0,70.0,10.0,40.0,30.0,80.0,60.0,70.0,40.0,10.0,30.0,90.0,20.0,30.0,20.0
151,Talk to me,Horror,2022.0,95.0,4.5,92.0,71.0,80.0,80.0,80.0,80.0,7.0,70.0,70.0,80.0,50.0,70.0,80.0,100.0,60.0,60.0,80.0,70.0,40.0,90.0,70.0,60.0,80.0,80.0,90.0,80.0,70.0
152,Tangled,Adventure,2010.0,100.0,260.0,592.5,77.0,80.0,40.0,60.0,80.0,7.0,100.0,80.0,100.0,90.0,70.0,100.0,80.0,70.0,100.0,80.0,100.0,100.0,100.0,80.0,100.0,90.0,90.0,100.0,90.0,100.0
153,Teen beach movie,Musical,2013.0,110.0,8.0,12.509304,59.0,70.0,80.0,70.0,70.0,8.0,80.0,30.0,90.0,70.0,90.0,100.0,100.0,70.0,50.0,90.0,100.0,100.0,100.0,60.0,70.0,100.0,100.0,90.0,90.0,80.0
154,The 5th wave,SciFi,2016.0,112.0,54.0,109.9,52.0,70.0,30.0,40.0,60.0,3.0,20.0,20.0,20.0,20.0,10.0,20.0,20.0,30.0,20.0,30.0,40.0,40.0,40.0,30.0,30.0,50.0,50.0,40.0,10.0,10.0
155,The Adventures of Sharkboy and Lavagirl,Adventure,2005.0,92.0,50.0,72.0,37.0,90.0,40.0,30.0,30.0,4.0,100.0,30.0,20.0,60.0,60.0,30.0,70.0,100.0,20.0,80.0,100.0,100.0,40.0,100.0,100.0,20.0,30.0,80.0,10.0,100.0
156,The Babysitter,Horror,2017.0,85.0,,0.404923,63.0,60.0,70.0,70.0,80.0,6.0,70.0,80.0,40.0,10.0,50.0,80.0,40.0,40.0,60.0,50.0,80.0,50.0,70.0,60.0,30.0,50.0,20.0,80.0,70.0,60.0
157,The blind side,Sports,2009.0,129.0,29.0,309.2,76.0,80.0,70.0,20.0,100.0,4.0,30.0,30.0,10.0,10.0,10.0,10.0,20.0,40.0,20.0,60.0,10.0,20.0,100.0,20.0,10.0,20.0,20.0,70.0,30.0,20.0
158,The book of life,Adventure,2014.0,95.0,50.0,100.0,72.0,70.0,60.0,80.0,60.0,8.0,100.0,100.0,80.0,100.0,80.0,70.0,40.0,70.0,60.0,90.0,70.0,90.0,90.0,80.0,80.0,60.0,70.0,80.0,90.0,80.0
159,The Fast and The Furious,Action,2001.0,106.0,38.0,207.3,68.0,90.0,40.0,80.0,80.0,6.0,80.0,90.0,70.0,60.0,50.0,60.0,80.0,40.0,50.0,80.0,60.0,60.0,70.0,70.0,70.0,100.0,70.0,60.0,40.0,100.0
160,The Fast and The Furious: Tokyo Drift,Action,2006.0,104.0,85.0,159.0,60.0,100.0,60.0,20.0,60.0,4.0,50.0,80.0,40.0,40.0,60.0,60.0,60.0,80.0,100.0,100.0,90.0,60.0,40.0,80.0,20.0,40.0,30.0,100.0,80.0,70.0
